0.4768	0.2762	0.5021	0.0084	0.0024
0.5583	0.2454	0.5947	0.0203	-0.0135
0.4311	0.3284	0.4505	0.0043	0.0053
0.4481	0.2346	0.4908	0.0249	0.0004
0.374	0.2205	0.3938	0.0012	-0.0537
0.3237	0.2754	0.3455	0.01	0.0003
0.2836	0.1447	0.3	0.0171	0.0026
0.3723	0.1972	0.3874	0.0142	0.0029
0.228	0.1454	0.234	0.0054	-0.0026
0.3923	0.2734	0.4083	0.0097	0
0.2184	0.1762	0.2287	0.0077	0
0.3577	0.2987	0.3753	0.0243	-0.0822
0.4611	0.3837	0.4894	0.0077	0.0058
0.298	0.2455	0.3101	0.0121	0.0036
0.325	0.2232	0.3389	0.0269	0.0015
0.2568	0.1716	0.278	0.0461	0.0024
0.4179	0.324	0.4323	0.0058	0.004
0.4385	0.3073	0.4628	0.0498	0.0076
0.6312	0.0883	0.7769	0.1986	0.0226
0.4608	0.3455	0.4806	0.0337	0.0129
0.5042	0.3532	0.5284	0.0345	0.0105
0.2899	0.1459	0.332	0.0814	0.0096
0.2225	0.1556	0.2286	0.013	0.003
0.3347	0.2009	0.3423	0.0105	0.0032
0.471	0.3707	0.5222	0.0341	0.0084
0.3965	0.3116	0.415	0.0044	0.0018
0.5485	0.3723	0.5851	0.0354	0.0184
0.3126	0.2419	0.3251	0.0321	0.0039
0.7671	0.4891	0.807	0.0212	0.0051
0.4074	0.2764	0.4397	0.0156	0.0043
0.4571	0.2871	0.4731	0.0234	0.0032
0.4002	0.2691	0.4138	0.0233	0.0074
0.4322	0.2723	0.4453	0.0181	0.0048
0.4298	0.3012	0.443	0.0193	0.0063
0.3935	0.2672	0.4103	0.023	0.0082
0.4497	0.2676	0.4606	0.012	0.0055
0.3667	0.2366	0.3767	0.0174	0.0051
0.3845	0.2146	0.395	0.0203	0.005
